type_transaction,prix_location,prix_vente,description,localisation,commune,ville,marque,modele,annee
Vente,0,2850000,toyota obama 3 portières boite manuelle,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Obama,inco
Location,829697,16850000,toyota rav4 2022 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Rav4,2022
Vente,0,1950000,peugeot 406 phase 2 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,Peugeot 406,inco
Vente,0,2200000,peugeot 406 phase 2 2002,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,Peugeot 406,2002
Location,736151,14800000,kia sorento importé  2020,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Kia,2020
Vente,0,13800000,gmc terrain 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Gmc,Terrain,2019
Vente,0,3500000,jeep patriot 2012,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Jeep,Patriot,2012
Location,690518,13800000,hyundai tucson 2020 ,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Tucson,2020
Vente,0,11800000,hyundai tucson 2018,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Hyundai,Tucson,2018
Vente,0,16500000,toyota hiace 15 places 2019 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Hiace 15 places,2019
